cipher score order iop    ratio latency    energy
c20+ff 1.75  rnd   40m-w  2     0.0660148  0.0517349
c20+ff 1.875 rnd   40m-w  3     0.0725440  0.0791888
ff     2.0   rnd   40m-w  0     0.0928509  0.0995302
ff+fb  2.125 rnd   40m-w  1     0.191323   0.192830
ff+fb  2.25  rnd   40m-w  2     0.202861   0.183831
ff+fb  2.375 rnd   40m-w  3     0.261747   0.244221
fb     2.5   rnd   40m-w  0     0.308448   0.249814
fb+fs  2.625 rnd   40m-w  1     0.436176   0.424127
fb+fs  2.75  rnd   40m-w  2     0.685157   0.679663
fb+fs  2.875 rnd   40m-w  3     0.917731   0.931724
fs     3.0   rnd   40m-w  0     1.0        1.0
c8     0.5   seq   40m-w  0     0.0        0.000613778
c8+c20 0.75  seq   40m-w  1     0.00641413 0.00264882
c8+c20 1.0   seq   40m-w  2     0.0275785  0.0100676
c8+c20 1.25  seq   40m-w  3     0.0298091  0.104500
c20    1.5   seq   40m-w  0     0.0333167  0.00547528
c20+ff 1.625 seq   40m-w  1     0.0599281  0.0457486
c20+ff 1.75  seq   40m-w  2     0.0431119  0.0504057
c20+ff 1.875 seq   40m-w  3     0.0546591  0.0697713
ff     2.0   seq   40m-w  0     0.0916633  0.0980276
ff+fb  2.125 seq   40m-w  1     0.173436   0.175642
ff+fb  2.25  seq   40m-w  2     0.188671   0.163232
ff+fb  2.375 seq   40m-w  3     0.233725   0.211729
fb     2.5   seq   40m-w  0     0.318073   0.248711
fb+fs  2.625 seq   40m-w  1     0.436176   0.577507
fb+fs  2.75  seq   40m-w  2     0.685157   0.601383
fb+fs  2.875 seq   40m-w  3     0.917731   0.819088
fs     3.0   seq   40m-w  0     1.0        1.0
